model;spatial_error;sys_size;timing
r"$M_2^{\gamma_3}$"            ;0.0167795  ;6   ;16140.171279
r"$M_3^{\gamma_3}$"            ;0.0152831  ;10  ;31281.166781
r"$\mathcal{N}_2$"             ;0.016995   ;6   ;616.787697
r"$\mathcal{N}_2^{\gamma_1}$"  ;0.0168716  ;6   ;616.787697
r"$\mathcal{N}_2^{\gamma_2}$"  ;0.0170578  ;6   ;616.787697
r"$\mathcal{N}_2^{\gamma_3}$"  ;0.0174126  ;6   ;616.787697
r"$\mathcal{N}_2^{r}$"         ;0.0173108  ;6   ;1578.440594
r"$\mathcal{N}_2^{\gamma_1,r}$";0.0183169  ;6   ;1578.440594
r"$\mathcal{N}_2^{\gamma_2,r}$";0.0172497  ;6   ;1578.440594
r"$\mathcal{N}_2^{\gamma_3,r}$";0.0170167  ;6   ;1578.440594
r"$\mathcal{N}_3$"             ;0.00852203 ;10  ;826.60993
r"$\mathcal{N}_3^{\gamma_1}$"  ;0.0101997  ;10  ;826.60993
r"$\mathcal{N}_3^{\gamma_2}$"  ;0.00914822 ;10  ;826.60993
r"$\mathcal{N}_3^{\gamma_3}$"  ;0.00795507 ;10  ;826.60993
r"$\mathcal{N}_4$"             ;0.00747605 ;15  ;1104.826151
r"$\mathcal{N}_4^{\gamma_1}$"  ;0.0114359  ;15  ;1104.826151
r"$\mathcal{N}_4^{\gamma_2}$"  ;0.00630471 ;15  ;1104.826151
r"$\mathcal{N}_4^{\gamma_3}$"  ;0.00749644 ;15  ;1104.826151
r"$S_{10}$"                    ;0.00818268 ;100 ;356.75354
r"$S_{20}$"                    ;0.0021388  ;400 ;1648.625912
r"$S_{30}$"                    ;0.000709227;900 ;4119.824155
r"$S_{40}$"                    ;0.000242727;1600;30975.63164
r"$S_{50}$"                    ;nan        ;2500;83928.613993
r"$P_{2}$"                     ;0.0382389  ;6   ;51.34
r"$P_{3}$"                     ;0.0268713  ;10  ;85.57
r"$P_{5}$"                     ;0.0150092  ;21  ;179.71
r"$P_{7}$"                     ;0.011332   ;36  ;299.528
r"$P_{9}$"                     ;0.00833505 ;55  ;470.68

