model;spatial_error;rel_spatial_err;sys_size;timing;;;;;;S_50
"r""$M_2^{\gamma_3}$""            ";0.0167795;0.0709225703646408;6;16140.171279;;;;;;0.236589
"r""$M_3^{\gamma_3}$""            ";0.0152831;0.0645976778294849;10;31281.166781;;;;;;0.236589
"r""$\mathcal{N}_2$""             ";0.016995;0.0718334326617045;6;616.787697;;;;;;0.236589
"r""$\mathcal{N}_2^{\gamma_1}$""  ";0.0168716;0.0713118530447316;6;616.787697;;;;;;0.236589
"r""$\mathcal{N}_2^{\gamma_2}$""  ";0.0170578;0.0720988718833082;6;616.787697;;;;;;0.236589
"r""$\mathcal{N}_2^{\gamma_3}$""  ";0.0174126;0.0735985189505852;6;616.787697;;;;;;0.236589
"r""$\mathcal{N}_2^{r}$""         ";0.0173108;0.0731682369002785;6;1578.440594;;;;;;0.236589
"r""$\mathcal{N}_2^{\gamma_1,r}$""";0.0183169;0.0774207592068947;6;1578.440594;;;;;;0.236589
"r""$\mathcal{N}_2^{\gamma_2,r}$""";0.0172497;0.0729099831353106;6;1578.440594;;;;;;0.236589
"r""$\mathcal{N}_2^{\gamma_3,r}$""";0.0170167;0.0719251529022905;6;1578.440594;;;;;;0.236589
"r""$\mathcal{N}_3$""             ";0.00852203;0.0360203982433672;10;826.60993;;;;;;0.236589
"r""$\mathcal{N}_3^{\gamma_1}$""  ";0.0101997;0.043111471792856;10;826.60993;;;;;;0.236589
"r""$\mathcal{N}_3^{\gamma_2}$""  ";0.00914822;0.0386671400614568;10;826.60993;;;;;;0.236589
"r""$\mathcal{N}_3^{\gamma_3}$""  ";0.00795507;0.0336240061879462;10;826.60993;;;;;;0.236589
"r""$\mathcal{N}_4$""             ";0.00747605;0.0315993135775543;15;1104.826151;;;;;;0.236589
"r""$\mathcal{N}_4^{\gamma_1}$""  ";0.0074359;0.0314296099987742;15;1104.826151;;;;;;0.236589
"r""$\mathcal{N}_4^{\gamma_2}$""  ";0.00400471;0.0169268647316655;15;1104.826151;;;;;;0.236589
"r""$\mathcal{N}_4^{\gamma_3}$""  ";0.00489644;0.0206959748762622;15;1104.826151;;;;;;0.236589
"r""$S_{10}$""                    ";0.00818268;0.0345860542966917;100;356.75354;;;;;;0.236589
"r""$S_{20}$""                    ";0.0021388;0.00904014979563716;400;1648.625912;;;;;;0.236589
"r""$S_{30}$""                    ";0.000709227;0.00299771756083334;900;4119.824155;;;;;;0.236589
"r""$S_{40}$""                    ";0.000242727;0.00102594372519432;1600;30975.63164;;;;;;0.236589
"r""$S_{50}$""                    ";0;0;2500;83928.613993;;;;;;0.236589
"r""$P_{2}$""                     ";0.0382389;0.161625857499715;6;51.34;;;;;;0.236589
"r""$P_{3}$""                     ";0.0268713;0.113577976998085;10;85.57;;;;;;0.236589
"r""$P_{5}$""                     ";0.0150092;0.0634399739632865;21;179.71;;;;;;0.236589
"r""$P_{7}$""                     ";0.011332;0.047897408586198;36;299.528;;;;;;0.236589
"r""$P_{9}$""                     ";0.00833505;0.0352300825482165;55;470.68;;;;;;0.236589
